Gender,Race,Age,pPopulation,Month,ReincarcRate
Male,White,55-64,0.01716899359435498,10,1.0197851825164526
Male,White,65 or older,0.005722997864784993,10,0.542364255312227
Female,Black,24 or younger,0.003520686690908717,11,1.6043707280377877
Female,Black,25-39,0.013238326824741532,11,1.360376767160125
Female,Black,40-54,0.009298649334112076,11,1.1010109119400933
Female,Black,55-64,9.2593552604127e-4,11,0.7004683479187679
Female,Black,65 or older,3.0864517534708995e-4,11,0.3739948386613095
Female,Hispanic,24 or younger,0.0021280382118107426,11,1.4590086799304942
Female,Hispanic,25-39,0.008429528267592865,11,1.2364490434997206
Female,Hispanic,40-54,0.004107576089012204,11,1.0011007230870184
Female,Hispanic,55-64,2.817195878396454e-4,11,0.6371747831144231
Female,Hispanic,65 or older,9.39065292798818e-5,11,0.3392805464886014
Female,Other or Unknown,24 or younger,0.0014112463357541167,11,1.2847929143155812
Female,Other or Unknown,25-39,0.005717895036305107,11,1.0906150709105642
Female,Other or Unknown,40-54,0.0031900660284027637,11,0.8820435832216625
Female,Other or Unknown,55-64,2.8122211985828077e-4,11,0.5606304631503666
Female,Other or Unknown,65 or older,9.374070661942692e-5,11,0.30092846242781596
Female,White,24 or younger,0.007581333846086383,11,1.548382100477483
Female,White,25-39,0.033221658377548834,11,1.3124460698205984
Female,White,40-54,0.01917311562577993,11,1.0624682173595563
Female,White,55-64,0.0016536416776967897,11,0.6761283027117649
Female,White,65 or older,5.512138925655966e-4,11,0.36042203322788285
Male,Black,24 or younger,0.05582261454281714,11,2.28992034406432
Male,Black,25-39,0.1375583598940358,11,1.9407790393533246
Male,Black,40-54,0.08729252551313386,11,1.5712909923334017
Male,Black,55-64,0.014220172252793128,11,0.999999425474426
Male,Black,65 or older,0.004740057417597709,11,0.5327132015694993
Male,Hispanic,24 or younger,0.03342290771111982,11,2.084044694175368
Male,Hispanic,25-39,0.09002947168093134,11,1.765306432487525
Male,Hispanic,40-54,0.04318383507533963,11,1.429790821591237
Male,Hispanic,55-64,0.005667176416127085,11,0.9103430538132041
Male,Hispanic,65 or older,0.0018890588053756953,11,0.4836138252971555
Male,Other or Unknown,24 or younger,0.01620263741779368,11,1.831098545429521
Male,Other or Unknown,25-39,0.0439632632621121,11,1.5536992768207172
Male,Other or Unknown,40-54,0.025923011193533557,11,1.2569760574214075
Male,Other or Unknown,55-64,0.003937600163757533,11,0.799182758008544
Male,Other or Unknown,65 or older,0.001312533387919178,11,0.42806304479599117
Male,White,24 or younger,0.04481268946494619,11,2.2110520113162475
Male,White,25-39,0.1510028625571967,11,1.8732647527074302
Male,White,40-54,0.10091908590102662,11,1.5169933402325115
Male,White,55-64,0.01716899359435498,11,0.9657102628409135
Male,White,65 or older,0.005722997864784993,11,0.5136049596843765
Female,Black,24 or younger,0.003520686690908717,12,1.519297695269899
Female,Black,25-39,0.013238326824741532,12,1.2882417080576494
Female,Black,40-54,0.009298649334112076,12,1.0426289334158152
Female,Black,55-64,9.2593552604127e-4,12,0.6633254571429904
Female,Black,65 or older,3.0864517534708995e-4,12,0.35416346514618174
Female,Hispanic,24 or younger,0.0021280382118107426,12,1.3816435852754905
Female,Hispanic,25-39,0.008429528267592865,12,1.170885350423541
Female,Hispanic,40-54,0.004107576089012204,12,0.9480165617203365
Female,Hispanic,55-64,2.817195878396454e-4,12,0.6033880839086464
Female,Hispanic,65 or older,9.39065292798818e-5,12,0.3212899259016543
Female,Other or Unknown,24 or younger,0.0014112463357541167,12,1.216665749072919
Female,Other or Unknown,25-39,0.005717895036305107,12,1.032784340117935
Female,Other or Unknown,40-54,0.0031900660284027637,12,0.8352725213051333
Female,Other or Unknown,55-64,2.8122211985828077e-4,12,0.530902587336651
Female,Other or Unknown,65 or older,9.374070661942692e-5,12,0.2849714915746872
Female,White,24 or younger,0.007581333846086383,12,1.4662779091773592
Female,White,25-39,0.033221658377548834,12,1.2428525740326943
Female,White,40-54,0.01917311562577993,12,1.0061299958433751
Female,White,55-64,0.0016536416776967897,12,0.6402760621749131
Female,White,65 or older,5.512138925655966e-4,12,0.3413103685064965
Male,Black,24 or younger,0.05582261454281714,12,2.1684954981344142
Male,Black,25-39,0.1375583598940358,12,1.837867688550963
Male,Black,40-54,0.08729252551313386,12,1.4879720388380602
Male,Black,55-64,0.014220172252793128,12,0.9469736612887982
Male,Black,65 or older,0.004740057417597709,12,0.5044656607355696
Male,Hispanic,24 or younger,0.03342290771111982,12,1.9735365681799715
Male,Hispanic,25-39,0.09002947168093134,12,1.6716996561035828
Male,Hispanic,40-54,0.04318383507533963,12,1.353975027092652
Male,Hispanic,55-64,0.005667176416127085,12,0.8620713899803756
Male,Hispanic,65 or older,0.0018890588053756953,12,0.4579698179069011
Male,Other or Unknown,24 or younger,0.01620263741779368,12,1.7340030899751069
Male,Other or Unknown,25-39,0.0439632632621121,12,1.4713131380196978
Male,Other or Unknown,40-54,0.025923011193533557,12,1.1903239031202326
Male,Other or Unknown,55-64,0.003937600163757533,12,0.7568054571943202
Male,Other or Unknown,65 or older,0.001312533387919178,12,0.40536466168525553
Male,White,24 or younger,0.04481268946494619,12,2.093809221403053
Male,White,25-39,0.1510028625571967,12,1.7739334006047156
Male,White,40-54,0.10091908590102662,12,1.4365535628874655
Male,White,55-64,0.01716899359435498,12,0.9145027087518213
Male,White,65 or older,0.005722997864784993,12,0.4863706485607756
Female,Black,24 or younger,0.003520686690908717,13,1.438735727667839
Female,Black,25-39,0.013238326824741532,13,1.219931667786229
Female,Black,40-54,0.009298649334112076,13,0.9873427056960439
Female,Black,55-64,9.2593552604127e-4,13,0.6281520976662078
Female,Black,65 or older,3.0864517534708995e-4,13,0.33538366597070063
Female,Hispanic,24 or younger,0.0021280382118107426,13,1.308380836242764
Female,Hispanic,25-39,0.008429528267592865,13,1.1087982242729344
Female,Hispanic,40-54,0.004107576089012204,13,0.8977472301934677
Female,Hispanic,55-64,2.817195878396454e-4,13,0.5713929512768668
Female,Hispanic,65 or older,9.39065292798818e-5,13,0.30425327226758214
Female,Other or Unknown,24 or younger,0.0014112463357541167,13,1.1521510809045215
Female,Other or Unknown,25-39,0.005717895036305107,13,0.9780201297807929
Female,Other or Unknown,40-54,0.0031900660284027637,13,0.7909815321133665
Female,Other or Unknown,55-64,2.8122211985828077e-4,13,0.5027510557612233
Female,Other or Unknown,65 or older,9.374070661942692e-5,13,0.26986065178125734
Female,White,24 or younger,0.007581333846086383,13,1.3885273578650452
Female,White,25-39,0.033221658377548834,13,1.1769493286614363
Female,White,40-54,0.01917311562577993,13,0.9527791532922744
Female,White,55-64,0.0016536416776967897,13,0.6063249151825215
Female,White,65 or older,5.512138925655966e-4,13,0.32321211499405184
Male,Black,24 or younger,0.05582261454281714,13,2.053509301150233
Male,Black,25-39,0.1375583598940358,13,1.740413293903433
Male,Black,40-54,0.08729252551313386,13,1.4090711390612407
Male,Black,55-64,0.014220172252793128,13,0.8967596303860529
Male,Black,65 or older,0.004740057417597709,13,0.477715968201276
Male,Hispanic,24 or younger,0.03342290771111982,13,1.8688882233807969
Male,Hispanic,25-39,0.09002947168093134,13,1.5830564534220521
Male,Hispanic,40-54,0.04318383507533963,13,1.282179425344399
Male,Hispanic,55-64,0.005667176416127085,13,0.816359369481375
Male,Hispanic,65 or older,0.0018890588053756953,13,0.43368560438653314
Male,Other or Unknown,24 or younger,0.01620263741779368,13,1.6420561982030961
Male,Other or Unknown,25-39,0.0439632632621121,13,1.3932955896967725
Male,Other or Unknown,40-54,0.025923011193533557,13,1.1272060322660322
Male,Other or Unknown,55-64,0.003937600163757533,13,0.7166752464309056
Male,Other or Unknown,65 or older,0.001312533387919178,13,0.3838698783762437
Male,White,24 or younger,0.04481268946494619,13,1.9827833235920242
Male,White,25-39,0.1510028625571967,13,1.6798691723809365
Male,White,40-54,0.10091908590102662,13,1.3603791686576336
Male,White,55-64,0.01716899359435498,13,0.8660104759104015
Male,White,65 or older,0.005722997864784993,13,0.46058045842625733
Female,Black,24 or younger,0.003520686690908717,14,1.3624456224164703
Female,Black,25-39,0.013238326824741532,14,1.1552438216827952
Female,Black,40-54,0.009298649334112076,14,0.9349880741343312
Female,Black,55-64,9.2593552604127e-4,14,0.5948438335262026
Female,Black,65 or older,3.0864517534708995e-4,14,0.31759968056987253
Female,Hispanic,24 or younger,0.0021280382118107426,14,1.2390029026957639
Female,Hispanic,25-39,0.008429528267592865,14,1.0500033173240173
Female,Hispanic,40-54,0.004107576089012204,14,0.8501434699173508
Female,Hispanic,55-64,2.817195878396454e-4,14,0.5410943859778292
Female,Hispanic,65 or older,9.39065292798818e-5,14,0.28812000073063865
Female,Other or Unknown,24 or younger,0.0014112463357541167,14,1.0910573542823538
Female,Other or Unknown,25-39,0.005717895036305107,14,0.9261598352151741
Female,Other or Unknown,40-54,0.0031900660284027637,14,0.7490391078193412
Female,Other or Unknown,55-64,2.8122211985828077e-4,14,0.4760922815182057
Female,Other or Unknown,65 or older,9.374070661942692e-5,14,0.2555510762757075
Female,White,24 or younger,0.007581333846086383,14,1.3148995913205657
Female,White,25-39,0.033221658377548834,14,1.1145406552460233
Female,White,40-54,0.01917311562577993,14,0.9022572815627088
Female,White,55-64,0.0016536416776967897,14,0.5741740547386909
Female,White,65 or older,5.512138925655966e-4,14,0.3060735357558872
Male,Black,24 or younger,0.05582261454281714,14,1.9446203386349536
Male,Black,25-39,0.1375583598940358,14,1.6481264959742525
Male,Black,40-54,0.08729252551313386,14,1.3343540221937111
Male,Black,55-64,0.014220172252793128,14,0.8492082383745206
Male,Black,65 or older,0.004740057417597709,14,0.45238469937026454
Male,Hispanic,24 or younger,0.03342290771111982,14,1.7697889402234375
Male,Hispanic,25-39,0.09002947168093134,14,1.4991136270030578
Male,Hispanic,40-54,0.04318383507533963,14,1.2141908424312435
Male,Hispanic,55-64,0.005667176416127085,14,0.7730712651944049
Male,Hispanic,65 or older,0.0018890588053756953,14,0.4106890805855404
Male,Other or Unknown,24 or younger,0.01620263741779368,14,1.554984863432922
Male,Other or Unknown,25-39,0.0439632632621121,14,1.319414983870339
Male,Other or Unknown,40-54,0.025923011193533557,14,1.067435036670511
Male,Other or Unknown,55-64,0.003937600163757533,14,0.6786729719827053
Male,Other or Unknown,65 or older,0.001312533387919178,14,0.36351487303302826
Male,White,24 or younger,0.04481268946494619,14,1.8776446622391887
Male,White,25-39,0.1510028625571967,14,1.5907927746068908
Male,White,40-54,0.10091908590102662,14,1.2882439822138445
Male,White,55-64,0.01716899359435498,14,0.8200895822497655
Male,White,65 or older,0.005722997864784993,14,0.43615781361780426
Female,Black,24 or younger,0.003520686690908717,15,1.2902008606200104
Female,Black,25-39,0.013238326824741532,15,1.0939861000232123
Female,Black,40-54,0.009298649334112076,15,0.885409588514802
Female,Black,55-64,9.2593552604127e-4,15,0.5633017665606432
Female,Black,65 or older,3.0864517534708995e-4,15,0.3007587051269727
Female,Hispanic,24 or younger,0.0021280382118107426,15,1.1733037892062892
Female,Hispanic,25-39,0.008429528267592865,15,0.9943260570374574
Female,Hispanic,40-54,0.004107576089012204,15,0.8050639368582175
Female,Hispanic,55-64,2.817195878396454e-4,15,0.5124024261805372
Female,Hispanic,65 or older,9.39065292798818e-5,15,0.27284220873725074
