state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
NJ,Female,7,-1.094285906067163,0.09901620837778145,0.33477858496844515,0.27572422202001423,0.4064811576305365,1972,0.3088235294117647
NJ,Female,14,-1.559808850136341,0.12781502707472986,0.2101762425213735,0.1636014977530222,0.2700100764791879,1972,0.18864097363083165
NJ,Female,30,-2.0228823474733417,0.16537204060721508,0.1322736564524262,0.09565516447254462,0.18291035604581862,1972,0.12170385395537525
NJ,Female,60,-2.565449865841845,0.18433521393231972,0.07688458591177821,0.053571383348342064,0.11034323142989265,1972,0.06997971602434078
NJ,Female,90,-3.0248489173469406,0.21060329666103303,0.04856515806869177,0.03214096822709567,0.07338218816471989,1972,0.04208924949290061
NJ,Unknown Gender,3,-0.6417225550683563,0.0751044618160029,0.5263849156464976,0.45433312463433256,0.6098632575891919,10209,0.5866392398863748
NJ,Unknown Gender,7,-1.148201552810378,0.0993659184659576,0.31720673626111695,0.26107301122232407,0.38540986315794973,10209,0.35135664609658146
NJ,Unknown Gender,14,-1.61924988939798,0.12826166140279557,0.1980472006852731,0.15402534281948785,0.25465090991708045,10209,0.21598589479870703
NJ,Unknown Gender,30,-2.0660290976368456,0.16597344877325548,0.12668784929477767,0.091507798609989,0.17539282337390097,10209,0.14056224899598393
NJ,Unknown Gender,60,-2.454379025714541,0.18556860821504023,0.08591653083584355,0.0597200890923872,0.12360414029937256,10209,0.08472916054461749
NJ,Unknown Gender,90,-2.7957078803841284,0.21152962585812038,0.06107162762042534,0.04034457553056713,0.09244721629013182,10209,0.06043686942893525
NJ,Trans,3,-0.8913861117821892,0.20475657384183113,0.41008693229047694,0.2745281091198471,0.6125831433967948,NA,NA
NJ,Trans,7,-1.4896328724767884,0.2578951563005734,0.22545541123428367,0.13600031315842745,0.37375018685146466,NA,NA
NJ,Trans,14,-1.8905582568520516,0.3087492976903892,0.15098749550037457,0.08243907357602932,0.27653420651859856,NA,NA
NJ,Trans,30,-2.354562605533266,0.41871669659622396,0.09493502150785828,0.04178439850680099,0.21569434120801284,NA,NA
NJ,Trans,60,-2.681321343802638,0.5503167659105613,0.06847261848299349,0.023285547610772346,0.20134804473091247,NA,NA
NJ,Trans,90,-2.6201606102097093,0.566240472123394,0.07279117088331738,0.023993518630695515,0.2208327440472085,NA,NA
NM,Male,3,-0.4873058870466884,0.07548448088589402,0.6142791041825882,0.5298015635318685,0.7122266973314917,21331,0.5359336177394403
