"","state","ageCat","sex","race","releases"
"478","FL","Under 18","Female","Hispanic",3.96341771479328
"479","FL","Under 18","Female","Other or Unknown",0
"480","FL","Under 18","Female","White",0
"481","FL","Under 18","Male","Black",0
"482","FL","Under 18","Male","Hispanic",22.8314685321501
"483","FL","Under 18","Male","Other or Unknown",0
"484","FL","Under 18","Male","White",0
"485","GA","18-24","Female","Black",85
"486","GA","18-24","Female","Hispanic",39.8890751997199
"487","GA","18-24","Female","Other or Unknown",0
"488","GA","18-24","Female","White",94
"489","GA","18-24","Male","Black",1415
"490","GA","18-24","Male","Hispanic",314.20664814908
"491","GA","18-24","Male","Other or Unknown",0
"492","GA","18-24","Male","White",503
"493","GA","25-34","Female","Black",253
"494","GA","25-34","Female","Hispanic",106.85095815031
"495","GA","25-34","Female","Other or Unknown",0
"496","GA","25-34","Female","White",478
"497","GA","25-34","Male","Black",3187
"498","GA","25-34","Male","Hispanic",800.768345469048
"499","GA","25-34","Male","Other or Unknown",1
"500","GA","25-34","Male","White",2023
"501","GA","35-44","Female","Black",171
"502","GA","35-44","Female","Hispanic",77.0873691050169
"503","GA","35-44","Female","Other or Unknown",0
"504","GA","35-44","Female","White",377
"505","GA","35-44","Male","Black",2020
"506","GA","35-44","Male","Hispanic",549.946501094681
"507","GA","35-44","Male","Other or Unknown",1
"508","GA","35-44","Male","White",1576
"509","GA","45-54","Female","Black",112
"510","GA","45-54","Female","Hispanic",29.7012985627423
"511","GA","45-54","Female","Other or Unknown",0
"512","GA","45-54","Female","White",226
"513","GA","45-54","Male","Black",1297
"514","GA","45-54","Male","Hispanic",205.541386645432
"515","GA","45-54","Male","Other or Unknown",2
"516","GA","45-54","Male","White",1139
"517","GA","55+","Female","Black",50
"518","GA","55+","Female","Hispanic",0
"519","GA","55+","Female","Other or Unknown",0
"520","GA","55+","Female","White",56
"521","GA","55+","Male","Black",635
"522","GA","55+","Male","Hispanic",23
"523","GA","55+","Male","Other or Unknown",0
"524","GA","55+","Male","White",570
"525","GA","Under 18","Female","Black",0
"526","GA","Under 18","Female","Hispanic",1.00187601781536
"527","GA","Under 18","Female","Other or Unknown",0
"528","GA","Under 18","Female","White",0
"529","GA","Under 18","Male","Black",0
"530","GA","Under 18","Male","Hispanic",6.05948839876233
"531","GA","Under 18","Male","Other or Unknown",0
"532","GA","Under 18","Male","White",0
"533","HI","18-24","Female","Black",0
"534","HI","18-24","Female","Hispanic",1
"535","HI","18-24","Female","Other or Unknown",0
"536","HI","18-24","Female","White",1
"537","HI","18-24","Male","Black",1
"538","HI","18-24","Male","Hispanic",0
"539","HI","18-24","Male","Other or Unknown",1
"540","HI","18-24","Male","White",3
"541","HI","25-34","Female","Black",1
"542","HI","25-34","Female","Hispanic",1
"543","HI","25-34","Female","Other or Unknown",1
"544","HI","25-34","Female","White",8
"545","HI","25-34","Male","Black",7
"546","HI","25-34","Male","Hispanic",2
"547","HI","25-34","Male","Other or Unknown",8
"548","HI","25-34","Male","White",47
"549","HI","35-44","Female","Black",2
"550","HI","35-44","Female","Hispanic",1
"551","HI","35-44","Female","Other or Unknown",2
"552","HI","35-44","Female","White",8
"553","HI","35-44","Male","Black",6
"554","HI","35-44","Male","Hispanic",9
